COMPANY_NAME,COMPANY_ADDRESS,CONTACT_NUMBER,CONTACT_PERSON,FUEL_TYPE,OWNERSHIP,STATUS,COAL_SUITABILITY,PKS_SUITABILITY,REMARKS,HUBSPOT_CONTACT_ID
San Lorenzo - Santa Rita Power Plant,"Barangay Sta. Rita Aplay, Batangas City, Batangas",(043) 980 3071 / (043) 723 3706,,Coal/Gas,AboitizPower / First Gen,,,,,,
GN Power Dinginin Ltd. Co,"GN Power Plant Dinginin, Freeport Area of Bataan, Mariveles, Bataan",(32) 8 638 4542,,Coal,AboitizPower / JERA / AC Energy,,,,,,
Ilijan Power Plant,"J3CH+VH3, Batangas-Tabangao-Lobo Rd, Batangas",(043) 300 3333,,Gas/Combined Cycle,AboitizPower / JERA,,,,,,
Pagbilao Power Station,"Pagbilao, Quezon, Philippines",(+632) 8573-5100,,Coal,AboitizPower (TPVI/IPPA),,,,,,
Masinloc Coal Power Plant,"HW8F+MF5, Masinloc, Zambales",(047) 821 4031,,Coal,SMC Global Power,,,,,,
San Buenaventura Power Plant,"6QJ4+4XJ, Mauban, Quezon",(042) 784 0295,,Coal,AboitizPower / TPVI,,,,,,
Mariveles Power Plant,"Brgy. Alasasin, Mariveles, Bataan",(047) 612 2246 / (047) 612 2249,,Coal,AboitizPower / GNPower,,,,,,
Malaya Thermal Power Plant,"98WM+79F, Pililla, Rizal",(632) 8709-4146,,Diesel/Gas,MERALco/MPPCL,,,,,,
Calaca Power Complex,"WQPP+2VW, Calaca, Batangas",(02) 888-3000 loc 3596,,Coal,SMC Global Power,,,,,,
GN Power Kauswagan Ltd. Co,"54P9+734, Kauswagan, Lanao del Norte",(063) 2 638 4542,,Coal,AboitizPower,,,,,,
Limay Coal Power Plant,"Limay, Bataan",9192345678,,Coal,SMC Global Power,,,,,,
San Miguel Global Power - Malita,"9JV9+725, Malita, Davao del Sur",(084) 822 6210,,Coal,SMC Global Power,,,,,,
MAKBAN Geothermal Power Plant,"Palengke, 248 F.T. San Luis Avenue, Bay, Laguna",9353522623,,Geothermal,PNOC-EC / First Gen,,,,,,
San Gabriel CCPP,"Santa Rita, Batangas City",,,Gas/CCGT,First Gen / Shell,,,,,,
Petron Bataan Refinery,"GHHX+FW5, Limay, Bataan",(02) 8884 9100,,Refinery (not power),Petron,,,,,,
Misamis Oriental Power Station,"Villanueva, Misamis Oriental",8920-2240 to 41,,Coal,AboitizPower / TPVI,,,,,,
Panay Energy Development Corporation,"La Paz, Iloilo City, Iloilo",(033) 333 2001,,Coal,AboitizPower / Vivant,,,,,,
Palinpinon Geothermal Power Plant,"Valencia, Negros Oriental",,,Geothermal,PNOC-EC,,,,,,
Minergy Power Corporation,"101 Ludeña St, Balingasag, Misamis Oriental",,,Biomass/Waste,Minergy Corp,,,,,,
First Gas Power Corporation,"Q2GM+J52, Batangas, 4200",(043) 723 9527,,Gas,First Gen / Shell,,,,,,
KEPCO SPC Power Corporation,"6Q96+5RH, Brgy. Colon, City of Naga",(032) 505 4065,,Coal,KEPCO SPC / SPC Power,,,,,,
Team Energy Corporation,"The W Fifth Avenue, 25F 5th Ave, Taguig, Metro Manila",(02) 8552 8000,,Nuclear/Coal,TEAM Energy,,,,,,
Masinloc Power Partners Co. Ltd,"San Miguel Property Centre Bldg, 7 St Francis, Ortigas Center, Mandaluyong",(02) 8702 4664,,Coal,SMC Global Power / JERA,,,,,,
SPi Power Inc.,"HQF4+2X2, Villanueva, 9002 Misamis Oriental",(032) 230 8200,,Coal,AboitizPower,,,,,,
Sarangani Energy Corporation,"V39J+748, National Hwy, Brgy. Kamanga, Maasim, Sarangani",+6383 263 1003,,Coal,Sarangani Energy / Aliku Energy,,,,,,
NPC-Mindanao Generation,"56M2+W36, Iligan City, Lanao del Norte",(063) 221 9003,,Various,National Power Corp,,,,,,
Central Negros Power Reliability Inc.,"MX93+23R, Bacolod, 6100 Negros Occidental",(034) 435 1932,,Coal/Diesel,Cebu Energy Dev Corp / Central Negros,,,,,,
First Soleq Energy Corporation,Davao Region,,,Solar/Geothermal,First Gen / Soleq,,,,,,
Digos Solar Power Plant,"Q7CM+WQ4, Digos City, Davao del Sur",09568143620,,Solar,SMC Global Power,,,,,,
Dagohoy Solar Power Plant,"V7C7+52, Dagohoy, Bohol",63 976 266 4842,,Solar,Green Energy Ventures,,,,,,
GenSan Solar Energy - Daytime Power,"General Santos City, Davao del Sur",,,Solar,Various,,,,,,
Lake Mainit 25 MW Power Plant,"8FXM+MXR, Jabonga, Agusan Del Norte",(+632) 8534-6449,,Hydro,NPC,,,,,,
North Negros BioPower Inc.,"Q2X7+R7C, Silay City, Negros Occidental",,,Biomass,North Negros BioPower,,,,,,
Silay Solar Power,"Silay City, Negros Occidental",,,Solar,Various,,,,,,
RASLAG Solar Power Plant,"4JMQ+V64, Mexico, 2021 Pampanga",(02) 8636 6486,,Solar,RASLAG / AC Energy,,,,,,
Caliraya Hydroelectric Power Plant,"7FXC+P57, NPC Road, Laguna",(632) 8709-4146,,Hydro,NPC/MERALco,,,,,,
Clark Solar Project,"Clark Freeport Zone, Pampanga",,,Solar,Various,,,,,,
Botocan Hydro-electric Power Plant,"5F4P+C22, Majayjay, Laguna",(632) 8709-4146,,Hydro,NPC,,,,,,
Tagalag Solar Park,"Tagalag, Isabela",,,Solar,Various,,,,,,
Currimao Solar,"2FXP+RXW, Currimao, Ilocos Norte",(632) 8683 4444,,Solar,Various,,,,,,
Maibarara Power Plant,"Santo Tomas, 4234 Batangas",0906 762 5383,,Geothermal/Solar,First Gen / SMC,,,,,,
Puerto Galera Wind Farm,"Puerto Galera, Oriental Mindoro",,,Wind,ALTERIA / Engie,,,,,,
Bulacan Solar Power Plant,"224H+CR3, Pasong Bangkal, San Ildefonso, Bulacan",(02) 8826 5698,,Solar,SMC Global Power,,,,,,
Green Innovations For Tomorrow Inc.,"MVVX+JFV, Talavera, Nueva Ecija",-444560445,,Solar,GIFT,,,,,,
Tumingad Solar Power Plant,"Tumingad, Ilocos Sur",,,Solar,Various,,,,,,
Baligatan Hydroelectric Power Plant,"RF52+33G, Ramon, Isabela",(+632) 8534-6449,,Hydro,NPC,,,,,,
Morong Solar Power Plant,"M7R8+9GF, Sabang, Ilanin Forest West, Morong, Bataan",,,Solar,Various,,,,,,
Bais Solar Power Plant,"Bais City, Negros Oriental",,,Solar,Various,,,,,,
Balsik Solar Power,"Balsik, Hermosa, Bataan",,,Solar,Various,,,,,,
Balut Diesel Power Plant,"Balut,Enumerator, Davao del Sur",,,Diesel,NPC/DOE,,,,,,
Bundagul Power Plant,"Bundagul, Laguna",,,Hydro,NPC,,,,,,
